Parcel / Reference ,COA #,Legal Description,Address,Code,Taxes Owed for Sale 337
047591 / GRAH00019  10,84,"All that portion of Lot 28, lying Southerly of the following described line in COMBS PARK, an addition now in and a part of Kansas City, Wyandotte County, Kansas; beginning at a point 20 feet North of the Southeast corner of Lot 28; thence Northwesterly 158 feet to a point which is 100 feet North and Northeasterly from the Southwest corner of said Lot 28, as measured along said West line.",(Approx .Add. 1219 North 49th Street),( I ),"Taxes from 2013 thru 2015= $2,022.04"
019018 / HALL00115  30,87,"Lot 3, in TWIN RIDGE ADDITION, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 6524 Tauromee Avenue),( I ),"Taxes from 2013 thru 2015= $5,841.26"
004587 / HERN00130  10,96,"Lot 7, Block 6, CORONADO NORTH, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 6021 Corona Avenue),( I ),"Taxes from 2011 thru 2014= $1,596.31"
004651 / BRYA00065  10,98,"Lot 25, Block 3, CORONADO NORTH, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1511 North 62nd Street),( I ),"Taxes from 2011 thru 2015= $4,080.06"
005694 / COOK00046  10,99,"Lot 6, Block 16, WESTBOROUGH ESTATES, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 7715 Everett Avenue),( I ),"Taxes from 2013 thru 2015= $8,759.91"
057335 / GAND00001  10,101,"Lot 10 and the South 10 feet of Lot 9, LOWDER'S RESURVEY, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2603 Grandview Boulevard),( I ),"Taxes from 2012 thru 2015= $3,996.04"
014204 / PRES00017  10,112,"Lot 5, CIRCLE DRIVE ADDITION, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 733 North 62nd Terrace),( I ),"Taxes from 2008 thru 2008= $1,902.41"
017001 / TORR00116  30,115,"Lot 7, Block 2, REDWOOD GARDENS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 908 North 71st Street),( I ),"Taxes from 2012 thru 2015= $2,221.34"
017026 / BOLT00018  30,116,"Lot 8, Block 4, REDWOOD GARDENS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 7026 Redwood Drive),( I ),"Taxes from 2012 thru 2015= $2,215.22"
017403 / JACK00298  10,117,"All of Lot 4, in WAYS 2ND SUBDIVISION, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 536 South 78th Street),( I ),"Taxes from 2013 thru 2015= $5,917.93"
017702 / ELMO00008  10,118,"Lot 3, DELLADIO'S RESURVEY, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 8132 Berger Avenue),( I ),"Taxes from 2013 thru 2013= $2,363.25"
021819 / MCMA00015  10,119,"Lot 48 in MILLHAVEN Lots 37 to 57, inclusive a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2117 North 74th Street),( I ),"Taxes from 2007 thru 2015= $5,524.86"
047760 / ARME00018  10,129,"Lot 16, VILLANOVA, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1301 North 52nd Court),( I ),"Taxes from 2012 thru 2015= $3,305.93"
055641 / ROCK00003  10,137,"The South 1/2 of Lot 22, in PARKVIEW, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 610 North 29th Street),( I ),"Taxes from 2011 thru 2015= $3,123.83"
056622 / BERR00056  10,140,"Lots 8, 9, 10, 11, 12, 13 and 14, Block 4, in GRANDVIEW ORCHARD, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3532 Ohio Avenue),( I ),"Taxes from 2009 thru 2015= $9,064.39"
056682 / RICK00028  10,143,"The East 35 feet of Lots 58, 59 and 60, Block 1, GRANDVIEW ORCHARD, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3301 Orville Avenue),( I ),"Taxes from 2013 thru 2015= $2,088.87"
028391 / ZIMM00029  30,144,"Lot 26, Block 22, HIGHLAND CREST, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 5146 Forest Avenue),( I ),"Taxes from 2011 thru 2015= $8,103.88"
035122 / HERN00138  10,145,"Lot 4, Block 1, VALLEY FORGE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 7114 Edith Avenue),( V ),"Taxes from 2008 thru 2015= $16,617.09"
068573 / WILS00116  10,149,"The East 109.75 feet of Lot 5, Block 5, in WALBROOK, a subdivision in the city of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1709 North 27th Street),( I ),"Taxes from 2010 thru 2015= $3,257.06"
068723 / DIAZ00033  10,150,"Lot 23, Block 12, CHELSEA PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1855 North 19th Street),( I ),"Taxes from 2009 thru 2015= $4,018.70"
058049 / ORTE00032  10,154,"The East 45 feet of Lots 13 and 14, Block 15, GRACE HILL, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2010 Wilson Boulevard),( I ),"Taxes from 2012 thru 2015= $1,623.72"
058404 / HERN00145  10,156,"The South 40 feet of Lot 3, RESURVEY OF THE REV. C. W. BACKUS RESURVEY OF BLOCK 11, GRACE HILL, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 219 North 20th Street),( I ),"Taxes from 2011 thru 2015= $5,012.15"
058509 / CHAV00081  10,157,"Lot 9, Block 3, RESURVEY OF MAPLE LEAF, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2503 Central Avenue),( I ),"Taxes from 2013 thru 2015= $2,730.82"
059081 / DELE00013  10,159,"Lots 19 and 20, Block 8, CLIFTON HILLS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 37 South 25th Street),( I ),"Taxes from 2011 thru 2015= $8,307.88"
059465 / KEIT00020  10,161,"The East 40 feet of the West 80 feet of Lots 23 and 24, and the East 10 feet of the South 100 feet of the West 90 feet of Lots 23 and 24, ROSE-HILL SUBDIVISION, a subdivision of land in Wyandotte County, Kansas.",(Approx .Add. 3208 Barnett Avenue),( I ),"Taxes from 2010 thru 2015= $4,068.47"
060341 / MALO00021  10,163,"Lot 19, in replat of Lots 1 to 23 inclusive and lots 30 to 166 inclusive, in WYANDOTTE VILLAGE, a subdivision of land in Kansas City, Wyandotte County, Kansas, also known as Lot 19, in RESURVEY OF WYANDOTTE VILLAGE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1649 North 44th Street),( I ),"Taxes from 2012 thru 2015= $2,178.11"
060478 / THOM00279  10,166,"WYANDOTTE VILLAGE REPLAT, Lot 130, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1409 North 45th Terrace),( I ),"Taxes from 2009 thru 2015= $2,399.90"
061516 / HERM00020  10,168,"The South 1/2 of Lot 2, WILLOW LANE ACRES, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1751 North 42nd Street),( I ),"Taxes from 2013 thru 2015= $4,142.25"
062913 / JONE00587  10,176,"Lot 19, in JUDDLAND, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 4009 Coleman Court),( I ),"Taxes from 2008 thru 2015= $5,807.88"
063588 / HOLL00106  10,181,"The West 65 feet of the East 125 feet of Lot 33, WOODLAND PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3209 Everett Avenue),( I ),"Taxes from 2012 thru 2015= $2,159.35"
054900 / TREA00004  10,184,"The North 79 feet of Lot 5 and the West 15 feet of the North 79 feet of Lot 4, Block 1, in THE UPLANDS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2533 State Avenue),( I ),"Taxes from 2010 thru 2015= $1,828.49"
066345 / GARZ00009  10,185,"The South 33 1/3 feet of Lot 11, Block 2, RIVERVIEW HEIGHTS, an addition in and to Kansas City, Wyandotte County, Kansas.",(Approx .Add. 104 South 15th Street),( I ),"Taxes from 2012 thru 2015= $2,433.42"
066528 / BROW00090  10,187,"The South 16 2/3 feet of Lot 34 and the North 16 2/3 feet of Lot 33, in Block 1, BOSTON PLACE ANNEX, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 81 South 14th Street),( I ),"Taxes from 2007 thru 2015= $5,479.06"
067045 / RATT00006  10,192,"The West 30 feet of Lot 5, Block 6, BOSTON PLACE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1253 Lowell Avenue),( I ),"Taxes from 2010 thru 2015= $1,489.18"
067078 / GAMB00042  10,193,"The South 25.72 feet of Lot 17 and the North 6.55 feet of Lot 18, Block 7, BOSTON PLACE, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 118 South Valley Street),( I ),"Taxes from 2013 thru 2015= $1,446.94"
067142 / GARC00152  10,196,"Lot 10, Block 4, in BOSTON PLACE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 57 South Valley Street),( I ),"Taxes from 2010 thru 2015= $6,626.68"
068128 / LAXT00002  80,197,"All of Lot 11 and the North 1/2 of Lot 12, Block 1, WILLIAMSON PLACE, an addition in Kansas City, Wyandotte, Kansas.",(Approx .Add. 811 South 14th Street),( I ),"Taxes from 2013 thru 2015= $1,736.46"
068154 / MORR00062  80,198,"The South 19 feet of Lot 34, in Block 2, WILLIAMSON PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 926 South 13th Street),( I ),"Taxes from 2008 thru 2015= $2,460.04"
068236 / GOME00120  80,200,"Lot 16, Block 5, KIRBY'S ADDITION TO ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1232 Pennsylvania Avenue),( I ),"Taxes from 2012 thru 2013= $1,733.73"
068263 / MCLE00005  80,202,"Lot 30, in Block 4, KIRBY'S ADDITION TO ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas, except that part thereof described as follows:
Beginning at the Southeast corner of Lot 30, in Block 4, in KIRBY'S ADDITION TO ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas; thence Southwesterly along the Northerly line of Argentine Boulevard 18.50 feet; thence Northwesterly a distance of 53 feet to a point 17.50 feet Westerly of the Westerly line of Lot 31 in said Block 4, in KIRBY'S ADDITION and measured normal thereto; thence Northwesterly to the North corner of Lot 30, in said Block 4; in KIRBY'S ADDITION; thence Southeasterly 115 feet to the place of beginning.",(Approx .Add. 1258 Argentine Boulevard),( I ),"Taxes from 2007 thru 2015= $4,728.29"
068265 / YELL00001  80,203,"All of Lot 32, Block 4, KIRBY'S ADDITION to Armourdale, now a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1254 Argentine Boulevard),( I ),"Taxes from 2009 thru 2011= $1,265.78"
068558 / RODR00014     10,206,"The East 40 feet of the North 10 feet of lot 7 and the East 40 feet of lot 8 and 9, block 4, WALLBROOK SUBDIVISON, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2515 Wood Avenue),( I ),"Taxes from 2011 thru 2015= $3,082.08"
068540 / ALLE00096  10,207,"Lots 10 and 11, Block 4, WALLBROOK ADDITION, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1728 North 25th Street),( I ),"Taxes from 2007 thru 2015= $2,888.21"
068729 / HARR00450  10,208,"Lots 20, 21, 22 and 23, Block 13, CHELSEA PLACE, an addition in Kansas City, Wyandotte County, Kansas, except that part taken for Right-of-Way, in Document No. 1182214, in Book 3697, at Page 192.",(Approx .Add. 1934 North 18th Street),( C/I ),"Taxes from 2011 thru 2015= $4,525.02"
068752 / REYE00019  10,209,"Lot 22, Block 2, CHELSEA PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1966 Glendale Avenue),( I ),"Taxes from 2005 thru 2013= $2,668.47"
067157 / MACI00013  10,211,"The West 25 feet of the East 40 feet of Lot 15, Block 1, BOSTON PLACE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1214 Sumner Avenue),( I ),"Taxes from 2007 thru 2010= $2,913.34"
067306 / HAMM00072  10,212,"Lots 11, 12, 13 & 14, Block 1, ROCK ISLAND PLACE, an addition in and a part of Kansas City, Wyandotte County, Kansas",(Approx .Add. 1216 Homer Avenue),( I ),"Taxes from 2013 thru 2015= $1,549.18"
067313 / MESI00004  10,214,"Lot 36 and the East 1/2 of Lot 37, in Block 2, in ROCK ISLAND PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1223 Homer Avenue),( I ),"Taxes from 2009 thru 2015= $1,566.67"
080130 / GARN00033  10,223,"The West 5 feet of Lot 18, all of Lot 19 and the East 20 feet of Lot 20, Block 79, WYANDOTTE CITY, an addition in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1137 & 1139 Oakland Avenue),( I ),"Taxes from 2013 thru 2015= $2,155.28"
080179 / ALLE00066  10,225,"Lots 22 and 23, Block 63, WYANDOTTE CITY, now a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1043 Freeman Avenue),( I ),"Taxes from 2008 thru 2015= $3,514.64"
080246 / GILE00005  10,227,"Lots 19 and 20, Block 85, WYANDOTTE CITY, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1037 Everett Avenue),( I ),"Taxes from 2010 thru 2015= $3,342.51"
080248 / KOEP00001  10,228,"Lots 22, 23 and 24, Block 85, WYANDOTTE CITY, now a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1043 Everett Avenue),( I ),Taxes from 2012 thru 2015= $980.34
080786 / TALL00005  10,232,"Lots 29, 30, 31 and 32, Block 103, WYANDOTTE CITY, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1310 State Avenue),( C/I ),"Taxes from 2013 thru 2015= $10,577.47"
081165 / BRAZ00008  10,235,"The South 25 feet of the North 73 feet of Lots 54, 55 and 56, Block 55, WYANDOTTE CITY, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1604 North 9th Street),( I ),"Taxes from 2007 thru 2015= $2,373.13"
090326 / PENA00022  10,238,"All of Lots 6, 7 and the East 10 feet of Lot 8, Block 161, NORTHRUP'S ADDITION,  a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 915 Barnett Avenue),( I ),"Taxes from 2011 thru 2015= $5,735.03"
090446 / SERR00008  10,239,"Lots 51 and 52, Block 171, NORTHRUPS ADDITION, in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 822 Sandusky Avenue),( I ),"Taxes from 2007 thru 2015= $2,386.47"
091715 / FIFT00006  10,240,"Lot 6, Block 2, WEST RIVERVIEW, a subdivision in the city of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 250 North Mill Street),( I ),"Taxes from 2008 thru 2015= $5,904.77"
069193 / MOOR00075  10,241,"Lot 38 and the South 7.5 feet of Lot 39, Block 6, FERREE PLACE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 18 South Boeke Street),( I ),"Taxes from 2009 thru 2015= $3,985.30"
072169 / NOVE00004  80,244,"Lot 27 and the West 1/2 of Lot 28, Block 129, ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1246 Kansas Avenue),( C/I ),"Taxes from 2007 thru 2010= $5,108.48"
094562 / TOVA00011  10,250,"Lot 21, Block 17, in EDGERTON PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 134 Stewart Avenue),( I ),"Taxes from 2011 thru 2015= $1,108.23"
095007 / ORRK00006  290,251,"Lot 1, Block 2, BRIGHTON HILL, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 639 Parallel Avenue),( I ),"Taxes from 1998 thru 2015= $5,081.21"
096503 / HOUC00002  10,254,"Lots 41 and the North 1/2 of Lot 42, VOGEL HEIGHTS NO. 4, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 4516 State Line Road),( I ),"Taxes from 2013 thru 2015= $4,587.56"
098744 / CUBI00003  10,256,"Lot 21 and the East 1/2 of Lot 22, Block 4, HOWELL HEIGHTS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1710 Freeman Avenue),( I ),"Taxes from 2007 thru 2012= $3,052.05"
100618 / SAUL00009  10,261,"The East 48.5 feet of the North 125 feet of Lot 3, in the HIGHLANDS, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3229 Georgia Avenue),( I ),"Taxes from 2008 thru 2013= $1,845.67"
105603 / CARR00147  10,265,"The East 1/2 of Lot 4, SUNSET RIDGE, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2800 North 38th Street),( I ),"Taxes from 2012 thru 2015= $3,154.28"
106105 / GOLS00001  10,266,"Lot 13, Block 5, in PARKWOOD, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1049 Webster Avenue),( I ),"Taxes from 2007 thru 2015= $5,268.96"
928603 / ELIZ00028  10,269,"Beginning 578 feet West of the Southeast corner of the Southeast quarter of Section 32, Township 10, Range 24, in Kansas City, Wyandotte County, Kansas, thence North 290.4 feet, thence West 150 feet, thence South 290.4 feet, thence East 150 feet to the point of beginning, less that part taken for public road purposes.",(Approx .Add. 7600 Parallel Parkway),( I ),"Taxes from 2010 thru 2015= $4,209.58"
109322 / GILL00078  10,272,"Lot 24, PROVIDENCE HEIGHTS ADDITION, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2744 North 32nd Street),( I ),"Taxes from 2012 thru 2012= $1,157.54"
109513 / FREE00084  10,273,"Commencing at a point 214 1/2 feet South and 47 1/2 feet West of the Northeast corner of the Southeast Quarter of the Southeast Quarter of Section 33, Township 10, Range 25; thence West 120 feet; thence South 35 feet; thence West 120 feet; thence North 35 feet to the point of beginning, same being known as Lot 15, MCGREW GROVE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 10 McGrew Grove),( I ),"Taxes from 2007 thru 2015= $4,268.12"
113155 / KOWA00002  10,275,"Lots 64 and 65, MAPLE LEAF LOTS ADDITION, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 4349 Lloyd Street),( I ),"Taxes from 2013 thru 2015= $6,106.07"
115905 / WILL00367  10,277,"Lot 6, Block 1, BARNES ADDITION to Western Highlands, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1522 Haskell Avenue),( I ),"Taxes from 2012 thru 2015= $3,622.79"
116548 / FLOY00013  10,279,"All of Lot 84, less the West 35 feet thereof and the South 12 1/2 feet of Lot 83, less the West 35 feet thereof, Block 4, ELLIS PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2920 North 27th Street),( I ),"Taxes from 2010 thru 2015= $3,787.15"
117000 / RIOS00009  10,280,"Lot 1, IRELAND AND PETERSON'S FIRST ADDITION TO ROSEDALE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2425 West 43rd Avenue),( I ),"Taxes from 2013 thru 2015= $3,476.74"
124216 / TAYL00146  10,282,"Lots 37, 38 and 39, in Block 1, FIRST ADDITION TO BENTON PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2410 Delavan Avenue),( I ),"Taxes from 2009 thru 2015= $3,335.81"
135401 / RAFI00003  10,287,"Lot 2, less the East 5 feet thereof, also all of the Westerly 90 feet of Lot 3, RHINEHART'S SUBDIVISION, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 4430 Mission Road),( I ),"Taxes from 2013 thru 2015= $3,349.68"
139129 / MITC00057  10,289,"Lots 126 and 127, in AMENDED PLAT OF ROSEDALE PLACE, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1110 Stine Lane),( I ),"Taxes from 2007 thru 2015= $12,234.17"
144530 / ANDR00061  10,292,"Lot 24, LAKE PARK ADDITION, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3135 West Townsend Court),( I ),"Taxes from 2013 thru 2015= $3,944.16"
149640 / BAIL00037  10,294,"Lot 117, in WYANDOTTE COUNTY PARK, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2501 Woodend Avenue),( I ),"Taxes from 2013 thru 2015= $3,681.91"
150714 / THOM00247  30,297,"Lot 10, WYANDOTTE GARDENS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2638 South 30th Street),( I ),"Taxes from 2011 thru 2015= $8,473.62"
155005 / STRO00047  10,303,"The South 1/2 of Lot 773 and all of Lots 774 and 775, in CENTER ADDITION, an addition to Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1839 South 8th Street),( I ),"Taxes from 2012 thru 2015= $2,344.54"
157205 / GARR00026  10,305,"Lot 6, Block 20, in WESTERN HIGHLANDS, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1214 Greeley Avenue),( I ),"Taxes from 2013 thru 2015= $2,454.06"
157522 / BELT00009  10,307,"All of Lot 13, in Block 17, in WESTERN HIGHLANDS, an addition in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2501 North 13th Street),( I ),"Taxes from 2007 thru 2015= $6,639.69"
157562 / CONW00002    10,308,"Lot 7, in Block 15, in WESTERN HIGHLANDS, an addition in and now a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1220 Georgia Avenue),( I ),"Taxes from 2006 thru 2015= $9,179.32"
157758 / BART00097  10,309,"Lot 7, Block 26, in WESTERN HIGHLANDS, an addition now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1324 Waverly Avenue),( I ),"Taxes from 2010 thru 2015= $1,637.29"
019311 / SPER00001  10,314,"Lot 19, in BURKHARD GARDENS, a subdivision in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2825 North 68th Street),( V ),"Taxes from 2007 thru 2015= $12,499.41"
069269 / WONG00002  10,315,"Lots 10 and 11, Block 4, FERREE PLACE, an addition in Kansas City, Wyandotte County, Kansas.","(Approx .Add. 101, 103, 105 South 10th Street & 961 Pacific Avenue)",( V ),Taxes from 2009 thru 2015= $495.21
072349 / FIDE00002  80,316,"The East 1/2 of Lot 33 and the West 21 feet of Lot 34, Block 121, ARMOURDALE, now in and a part of Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1232 Osage Avenue),( V ),"Taxes from 2005 thru 2015= $12,322.22"
081264 / ROBI00123  10,318,"Lot 42, Block 34, in WYANDOTTE CITY, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1042 Walker Avenue),( V ),"Taxes from 1965 thru 2015= $4,627.32"
